sentence	is_actionable
Open the deals listed in the document and make sure the location field on the deal exchange says inconsistent.	Actionable
Call me with feedback after you speak to Hugo or with any other ideas about moving this project forward.	Actionable
utilities roll	Non-Actionable
_	Non-Actionable
Please direct your inquiry to David Scott at volume in row 364 incase of emergency.	Actionable
The General Partnerwill contract with Creekside Builders, LLC to construct the units and thefee to CB will include a construction management and overhead fee equal to15% of the direct hard cost excluding land, financing and sales costs.	Non-Actionable
No Response----------------------	Non-Actionable
Please have this acknowledgement letter reviewed as soon as possible.	Actionable
Check with George to make sure no one in his group has called the other pipes.	Actionable
Please prepare and deliver customer account reports in timely and accurate manner.	Actionable
Joann please monitor STOI while I'm out.	Actionable
Phillip,>	Non-Actionable
please debug mixed-signal product test specifications and let me know the patterns.	Actionable
Make recommendations including budgets.	Actionable
Description:	Non-Actionable
Thanks, Monica Please send more details regarding this meeting.,True	Actionable
Schedule informal meeting with FERC staff to educate and get advice on further steps.	Actionable
Hi Nancy, Lisa Mellencamp's time is being consumed by special project, so I need you to work on this PPA.	Actionable
Please let me know when you can meet today to discuss the MOU.	Actionable
Call my little EES buddies to get better understanding of specific LDC.	Actionable
Please ensure smooth transition as client moves among service models and let me know if you see any changes.	Actionable
We don't have a single point of contact from the trading group.	Non-Actionable
If yes, who?	Non-Actionable
Consolidated positions: Issues &	Non-Actionable
Antonio if you do not know anyone.	Non-Actionable
Please provide feedback on the employee listed below by accessing the Performance Management System PEP and completing an online feedback form as described in the Performance Management Quick Reference Guide.	Actionable
Include the project description, investors, business entity and also please provide the names and numbers of prior investigation	Actionable
Greg,	Non-Actionable
Check with Bill Sherk to see what his progress has been regarding NCNG negotiations.	Actionable
We request all of you to attend your designated session as valuable information will be presented, and you will have the opportunity to get answers to your questions.	Actionable
Let's try and set up conference call with Phillip and John to talk about Andy ehrenberg.	Actionable
Ina, Please sign me up for this course whenever Hunter is signed up.	Actionable
As alwaysthe question will be who has final say if there is disagreement, but in myexperience I have always been able to reach consensus.	Non-Actionable
Make sure that you complete this section in time as requested.	Actionable
Please let me know what your intentions are and if we can schedule meeting.	Actionable
Jimmy, keep me posted because will need this once month until we are invited to leave.	Actionable
Westgate Proforma-Phillip Allen.xls	Non-Actionable
please reschedule the conference call and send confirmation email to Mike and Steve Swift	Actionable
Ability to properly show curve shift for float-for-float deals; determine the appropriate positions to show for each:	Non-Actionable
Change your address and request credit line increase.	Actionable
The spread relationship between San Juan and other points (Socal & Northwest)  is  consistent between the end of September and        October gas daily.	Non-Actionable
Please verify to provide copy of the blanket permit with the filing.	Actionable
Richard, Compare your california production to the numbers in the 2000 California Gas Report.	Actionable
-- Allan.	Non-Actionable
Please let Marde know if you have preference as to which day you would like to meet with CNG.	Actionable
Once you have read the package and reviewed this proforma, we would want toschedule a tour of the site and the area.	Non-Actionable
Bring bottle of bubbly sparkling cider because we have some special month!	Actionable
Please pick up your tickets from Patti Walsh at EB2015a.	Actionable
Subject:	Non-Actionable
We are glad to have the investor's input on design and materials.	Non-Actionable
Scott Neal/HOU/ECT	Non-Actionable
Please check our corporate resolutions to make sure that they cover off execution of confirms for data transactions.	Actionable
Please talk to Doug directly on the justification and let me know.	Actionable
Check out the Maintain section so that you can get great repair and maintenance information.	Actionable
Steven, In addition to the potential State Board of Equalization regulatory reversal we discussed this morning, please also promote that AB 81 Migden is being gutted and amended to provide for SBOE assessment of all electric generating facilities that produce 50 MW or more of generation.	Actionable
Please find the lastest versions of the Protocols both clean and redlined versions and their cover pleadings.	Actionable
Enerson, make sure you check with Patrice for this exact number so Chuck can send the invoice.	Actionable
The severe downdraft hitting the decked roof was enoughto knock it down.	Non-Actionable
Find out at Healthcare Outlook.	Actionable
Gas requirement for 180 microturbines 227	Non-Actionable
02:00 PM	Non-Actionable
(Invited)	Non-Actionable
We do not know the exact size of each of his units, but we believe one ofthe duplexes is a 1164/1302 sq ft. plan.	Non-Actionable
Brenda, Please use the second check as my October payment.	Actionable
Please forward me your passwords for the upcoming move.	Actionable
Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000	Non-Actionable
Enclosed is the preliminary proforma for the Westgate property is Austinthat we told you about.	Non-Actionable
Things left to do:I think it may be useful to try to formulate a high level project goal to make it as clear as possible what we're trying to accomplish with this project.	Non-Actionable
Have your people fill in the columns highlighted in yellow.	Non-Actionable
Please confirm that Unit 17 is going to CA Energy Development I, and Unit 18 is going to CA Energy Development II.	Actionable
Next week, let us stay ontop of this issue, for it has significant impact on our business.	Actionable
Phillip Allen	Non-Actionable
Position drill down in the position manager to isolate the impact of individual deals on the position total in a grid cell.	Non-Actionable
please find draft papers for the approval of protocol as we discussed last week in Houston and draft MRT stipulation.	Actionable
Also, please advise of the results of the conference call which you had with am working on the assignment and assumption agreement.	Actionable
Second,  isa construction loan for a pre-sold unit, but the loan remains in thebuilder/developers name.	Non-Actionable
Why is the land cost spread out on the cash flow statement?	Non-Actionable
lower prices were bypassed in order to establish higher trades to report into the index calculation.	Non-Actionable
Rita Hennessy/NA/Enron@Enron,	Non-Actionable
linda, please remove my name from your distribution list, and add on kathy's to increase the balance the lists.	Actionable
Please review the FANSonly Privacy Statement.	Actionable
John, edit the headings for 14 and 15.	Actionable
Give me call when you have chance and we can talk about different avenues we can take.	Actionable
Let me know what you find in MOPS.	Actionable
Kim Hillis, make sure you get our trades updated into Fred's midmarket results for August.	Actionable
I have my copy of the original deal.	Non-Actionable
Ensure there aren't any issues to work on this task.	Actionable
Give me call ASAP so I can follow up with her or so you can take the lead.	Actionable
_	Non-Actionable
Please give me the following info for the activity behind Peoples Phillips Power Gas Marketing Term.	Actionable
>	Non-Actionable
Peggy Alix/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT, Scott Mills/HOU/ECT@ECT, Kenny Ha/HOU/ECT@ECT	Non-Actionable
Please change your Capacity Types so that they are unique.	Actionable
The investment prior toobtaining the improvement loan would count towards any equity requirementprovided it was for direct costs.	Non-Actionable
Confirmation	Non-Actionable
505-220-4129> 888/501-3145	Non-Actionable
Implicit and explicit position break out issues.	Actionable
Please grant full access to Dale Furrow in retail risk management.	Actionable
Phillip	Non-Actionable
Have your people fill in the columns highlighted in yellow.	Actionable
Lucy,	Non-Actionable
Please let me know if you can meet tomorrow afternoon around Everyone else is more than welcome to attend.	Actionable
Please ask Jeff to contact trader and let me know the status.	Actionable
We really need a single point of contact to help drive the trader requirements and help come to a consensus regarding the requirements.	Non-Actionable
Get this query fixed before the next presentation.	Actionable
_	Non-Actionable
Phillip	Non-Actionable
Also please confirm this whether we should bill EES for this deal or not.	Actionable
Therefore, please encourage your direct reports and managers to participate in the below events in order to secure candidates for your business area.	Actionable
>	Non-Actionable
DISBURSEMENTSDisbursements will be handled by the General Partner to cover current andnear term third party costs, then to necessary reserves, then to prioritypayments and then to the partners per the agreement.	Non-Actionable
Sandra, just have to get with Chris Germany to see if he can confirm this deal.	Actionable
Traveling to have a business meeting takes the fun out of the trip.	Non-Actionable
Please get back to me as soon as your schedule permits regarding the site visit	Actionable
Consolidated positions: Issues &	Non-Actionable
Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 PM ---------------------------	Non-Actionable
Did you propose we look at developing a project from scratch?	Non-Actionable
Follow up on action items from Nov.	Actionable
<buck.buckner@honeywell.com>	Non-Actionable
Gated communities are farpreferred	Non-Actionable
Please create accounts and make sure all of your traders are set up on this messeging board.	Actionable
Please let me know whether you can extend this deal or create new one, so that we can proceed further.	Actionable
please find an updated allocations schedule which now reflects in separate line the planned IT Infrastructure Allocation	Actionable
but, of course, I could be  wrong.? ?	Non-Actionable
_	Non-Actionable
Kay Peter, Go ahead and complete the draft with what you have, and transmit it to me with list of questions which need to be answered to finish it.	Actionable
Bring this before his management to get it solved.	Actionable
Please let us know when the client has been added to the ACL.	Actionable
No Response	Non-Actionable
-600	Non-Actionable
Cindy Cicchetti	Non-Actionable
Releases can be granted once every 90 days and you shouldexpect that the release would occur 6 months after the start of lotimprovement construction.	Non-Actionable
We are glad to have the investor's input on design and materials.	Non-Actionable
Establish dedicated rate component for construction of native generation by the utilities.	Actionable
Take look at it when you get chance.	Actionable
End: 10/03/2000	Non-Actionable
For more information about this offer, visit NewPower's table located in the during the week of May 14 and tell us the joining date.	Actionable
Please plan to have the data rerouted back down the target line for Daren.	Actionable
We have included a fence around the entire property, but mayonly put it on Westgate and Cameron Loop.	Non-Actionable
>	Non-Actionable
Kathy,	Non-Actionable
05/01/2001 12:24 PM	Non-Actionable
Edison, meet Peter on Monday and get the new update.	Actionable
Russ Severson -	Non-Actionable
For the professionalsubs we use those with whom we have developed a previous rapport.	Non-Actionable
Jayant Krishnaswamy/HOU/ECT@ECT	Non-Actionable
Please let me know the final outcome on this and share the expected results.	Actionable
way to go!!!	Non-Actionable
1.	Non-Actionable
please add EES Power Settlements to your distribution list for these files	Actionable
Get the latest enterprise application news, reviews and analysis.	Actionable
Check out this list of the points we plan to put on the map and let me know if we should eliminate or add based on traders requests Jan.	Actionable
Chairperson:	Non-Actionable
What type of computer do you have?	Non-Actionable
Mark, ensure we have healthy utilities and that our state isn't burdened for decades by high energy costs.	Actionable
This would produce a loan amount of  $15,000 on $20,000per lot.	Non-Actionable
